time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1738	1.32404	5.18197	0.207538	0.162841	radar	4.91066	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3991	1.40647	5.15075	0.229163	0.177862	lidar	1.37186	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6324	1.48544	5.06276	0.249029	0.191503	radar	4.1726	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8577	1.52297	5.03159	0.248914	0.181317	lidar	1.12029	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1228	1.57344	5.07367	0.250723	0.172741	radar	1.81064	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4009	1.62553	5.11279	0.251985	0.164297	lidar	1.8219	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6326	1.68151	5.06577	0.258394	0.163074	radar	0.854452	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8624	1.74919	5.04776	0.268562	0.165434	lidar	0.364905	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1181	1.83611	5.10434	0.282672	0.170799	radar	1.47046	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3599	1.87181	5.08843	0.276377	0.154696	lidar	0.555875	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6153	1.93334	5.13375	0.278444	0.147465	radar	0.939003	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8166	2.06372	5.09819	0.314338	0.178927	lidar	3.52491	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0832	2.16829	5.18958	0.329163	0.183281	radar	3.56108	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2873	2.30728	5.15991	0.364637	0.212297	lidar	2.8193	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4701	2.44253	5.0431	0.40176	0.244885	radar	11.2668	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.719	2.56316	5.07452	0.420382	0.25161	lidar	0.926073	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9396	2.67245	5.05099	0.436763	0.256653	radar	0.262856	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1683	2.82819	5.07651	0.468577	0.277116	lidar	0.897701	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4176	2.93756	5.14382	0.473553	0.264248	radar	1.38522	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6228	3.01802	5.0946	0.474789	0.251688	lidar	2.04899	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8546	3.16737	5.15274	0.496781	0.259577	radar	3.94438	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0629	3.35924	5.17438	0.538797	0.290881	lidar	1.49833	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2756	3.52001	5.15573	0.56714	0.308095	radar	2.72564	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4892	3.71008	5.18698	0.602069	0.328906	lidar	0.946118	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.701	3.84312	5.17166	0.61309	0.323506	radar	0.880771	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9212	3.99263	5.1825	0.627117	0.321077	lidar	0.168814	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1181	4.15231	5.13175	0.651804	0.334939	radar	1.85879	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3155	4.34967	5.15858	0.684066	0.351337	lidar	0.581359	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5256	4.51259	5.17483	0.698107	0.346844	radar	0.597836	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7032	4.68454	5.15835	0.720719	0.352663	lidar	0.525079	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8591	4.87123	5.05737	0.760322	0.386304	radar	4.82769	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0241	5.09776	5.08738	0.800476	0.408257	lidar	0.881692	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1943	5.26639	5.04984	0.819239	0.409417	radar	1.70408	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
